['fushun', u'2016-01-26 23:00:00', u'\u5927\u4f19\u623f\u6c34\u5e93', u'66', u'\u826f', u'\u9897\u7c92\u7269(PM10)', u'36', u'82', u'1.689', u'51', u'24', u'32', u'32']
['bozhou', u'2016-01-26 23:00:00', u'\u4e09\u56fd\u63fd\u80dc\u5bab', u'93', u'\u826f', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'69', u'87', u'1.635', u'17', u'19', u'25', u'8']
['sanya', u'2016-01-26 23:00:00', u'\u6cb3\u897f\u5b50\u7ad9', u'56', u'\u826f', u'\u9897\u7c92\u7269(PM10)', u'26', u'62', u'0.576', u'35', u'39', u'51', u'3']
['zhuzhou', u'2016-01-26 23:00:00', u'\u4e91\u7530\u4e2d\u5b66', u'99', u'\u826f', u'\u9897\u7c92\u7269(PM10)', u'57', u'147', u'0.759', u'50', u'21', u'40', u'13']
['huhehaote', u'2016-01-26 23:00:00', u'\u5316\u80a5\u5382\u751f\u6d3b\u533a', u'97', u'\u826f', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'72', u'125', u'1.257', u'66', u'7', u'26', u'29']
['shaoxing', u'2016-01-26 23:00:00', u'\u5e02\u73af\u4fdd\u7ad9', u'82', u'\u826f', u'\u9897\u7c92\u7269(PM10)', u'47', u'113', u'1.508', u'94', u'17', u'27', u'25']
['foshan', u'2016-01-26 23:00:00', u'\u4e09\u6c34\u4e91\u4e1c\u6d77', u'55', u'\u826f', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'39', u'_', u'0.774', u'21', u'26', u'30', u'5']
['yanan', u'2016-01-26 23:00:00', u'\u767e\u7c73\u5927\u9053', u'143', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'109', u'138', u'3.038', u'99', u'7', u'13', u'132']
['chongzuo', u'2016-01-26 23:00:00', u'\u57ce\u5357\u65b0\u533a', u'42', u'\u4f18', u'_', u'29', u'_', u'0.734', u'13', u'47', u'48', u'9']
['jingzhou', u'2016-01-26 23:00:00', u'\u79d1\u878d\u73af\u4fdd', u'90', u'\u826f', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'67', u'110', u'1.423', u'52', u'28', u'50', u'51']
['zhaoyuan', u'2016-01-26 23:00:00', u'\u62db\u8fdc\u6559\u80b2\u5c40', u'120', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'91', u'124', u'2.79', u'18', u'16', u'37', u'61']
['heze', u'2016-01-26 23:00:00', u'\u83cf\u6cfd\u5b66\u9662', u'143', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'109', u'177', u'1.734', u'101', u'8', u'52', u'76']
['heyuan', u'2016-01-26 23:00:00', u'\u8001\u57ce', u'39', u'\u4f18', u'_', u'27', u'32', u'0.462', u'23', u'41', u'52', u'5']
['huaian', u'2016-01-26 23:00:00', u'\u6dee\u9634\u533a\u76d1\u6d4b\u7ad9', u'198', u'\u4e2d\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'148', u'266', u'4.383', u'2', u'4', u'19', u'59']
['xinganmeng', u'2016-01-26 23:00:00', u'\u79d1\u53f3\u524d\u65d7\u73af\u4fdd\u5c40', u'22', u'\u4f18', u'_', u'15', u'21', u'0.511', u'4', u'65', u'63', u'9']
['pingdu', u'2016-01-26 23:00:00', u'2\u53f7', u'72', u'\u826f', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'52', u'74', u'1.392', u'41', u'24', u'32', u'28']
['baiyin', u'2016-01-26 23:00:00', u'\u52a8\u529b\u516c\u53f8', u'99', u'\u826f', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'74', u'119', u'1.126', u'28', u'30', u'41', u'42']
['yancheng', u'2016-01-26 23:00:00', u'\u5f00\u53d1\u533a\u7ba1\u59d4\u4f1a', u'92', u'\u826f', u'\u9897\u7c92\u7269(PM10)', u'59', u'133', u'1.287', u'95', u'21', u'54', u'24']
